date,Debit,credit,amount,balance,mode of transaction,customer name,bank name,transaction details,balance amount
Unknown,Unknown,0,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4293071.0
Unknown,Unknown,798 54,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4372925.0
Unknown,Unknown,"39,89",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4376914.0
Unknown,Unknown,"7,50",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4377664.0
Unknown,Unknown,"19,24",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4379588.0
Unknown,Unknown,"210,00",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4400588.0
Unknown,Unknown,128 75,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4413463.0
Unknown,Unknown,"86,80",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4422143.0
Unknown,Unknown,756,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4422899.0
Unknown,Unknown,1,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,4422900.0
Unknown,Unknown,900 942,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,5323842.0
Unknown,Unknown,0,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,5323842.0
Unknown,Unknown,200,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,5324042.0
Unknown,Unknown,6,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Unknown,5324048.0
31/12/2019,Unknown,71,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Semce gatut puapod,71.0
Unknown,Unknown,7,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,eparane fr Votre Agence MAISONS ALFORT 147 AvenueDugenERALLECLERC,78.0
Unknown,Unknown,147,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Kuardi,225.0
Unknown,Unknown,01,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Keraed,226.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Jeudi,238.0
Unknown,Unknown,31,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Vendred,269.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Samed,281.0
Unknown,Unknown,19,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Votre Conseiller AMANDINE AvRIL,300.0
Unknown,Unknown,1,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Eml amandineavnlocedfcisseeoagnetr 10 BIS DE LA REVOL DES OEILLETS 94380 BONNEUIL SUR MARNE Identifiants,301.0
Unknown,Unknown,15 36,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Kettanenacira,1837.0
Unknown,Unknown,10,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,WoumeKettane,1847.0
Unknown,Unknown,31,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,DEPOT JOINT,1878.0
Unknown,Unknown,12,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,IZICARTE,1890.0
Unknown,Unknown,19,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Sokeau 31/12/19,1909.0
Unknown,Unknown,30,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,M,1939.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,KETTANE,1950.0
Unknown,Unknown,19,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,DEPOT JOINT N 17515,1969.0
Unknown,Unknown,"504,80",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Dale Detandes,52449.0
Unknown,Unknown,"000,00",Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,Solde Precedent AU 30/11/19,52449.0
Unknown,Unknown,30,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,ChEqUES,52479.0
Unknown,Unknown,11,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,DEPOT ESPECE,52490.0
Unknown,Unknown,19,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,DEPOT ESPECE,52509.0
Unknown,Unknown,09,Unknown,Unknown,Credit,Unknown,IleDE FRANCE Direct,MotoPaix,52518.0
